"Health Facility Name","NIN OR HFR","Facility ID","Solar Working Status?",State,District,Block,"Health Facility Type","Mapped Vendor","Top 3 values of Data.facilityCategory.keyword","Open Tickets","Closed Tickets","No of Tickets Logged"
Hanchinal,6667737727,"FAC/2025/5926",Yes,Karnataka,Belagavi,Savadatti,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hanchinal-Chikkodi",1165668110,"FAC/2025/4001",Yes,Karnataka,Belagavi,Chikodi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hanchinal-Vijayapura",2536632116,"FAC/2025/3466",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hanchuru,5445614885,"FAC/2026/7061",Yes,Karnataka,Hassan,Aluru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Handanhalli,2417838337,"FAC/2026/6959",Yes,Karnataka,Tumkur,Gubbi,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Handaraki,6465853387,"FAC/2025/3797",Yes,Karnataka,Kalaburagi,Chincholi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Handiganur,3135522260,"FAC/2025/4882",Yes,Karnataka,Haveri,Haveri,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Handigund,8247752374,"FAC/2025/5908",Yes,Karnataka,Belagavi,Raybag,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Handihal,2112336538,"FAC/2025/4086",Yes,Karnataka,Ballari,Ballari,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Handikunte,3376587634,"FAC/2026/7014",Yes,Karnataka,Tumkur,Sira,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hane,1134788676,"FAC/2026/8481",Yes,"Arunachal Pradesh",UpperSubansiri,GiteRipa,"Ayush Health & Wellness Center","Bharti Sharma",HEALTH,0,0,0
"Hangal Taluk Hospital",6832828260,"FAC/2025/4475",Yes,Karnataka,Haveri,Hangal,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hangarga B",4524284736,"FAC/2025/3796",Yes,Karnataka,Kalaburagi,Jewargi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hangargi,4373374141,"FAC/2025/4145",Yes,Karnataka,Bagalkote,Badami,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hangkar,1123463158,"FAC/2026/8748",Yes,"Arunachal Pradesh",Kamle,Gepen,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Hangphoi,IN1310000660,"FAC/2026/7117",Yes,Nagaland,Mon,Mon,"Sub Center",MANGAAL,HEALTH,0,0,0
Hanike,6754357389,"FAC/2026/7066",Yes,Karnataka,Hassan,Beluru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hankoni,1441482781,"FAC/2025/3954",Yes,Karnataka,Bidar,Humanabad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hanlokrok,7454634457,"FAC/2025/0418",Yes,Assam,WestKarbiAnglong,Rongkhang,"Mini Primary Health Center",ERES,HEALTH,0,0,0
Hanne,8314744536,"FAC/2026/6705",Yes,Karnataka,Chikkamagaluru,Tarikere,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,1,1
Hannikeri,4568716684,"FAC/2025/4384",Yes,Karnataka,Belagavi,Bailhongal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hansnur,6348717189,"FAC/2025/4144",Yes,Karnataka,Bagalkote,Badami,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hanthuvani,6843341287,"FAC/2026/6706",Yes,Karnataka,Chikkamagaluru,Narasimharajapura,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hanumanahalli,7747326549,"FAC/2026/6938",Yes,Karnataka,Kolar,Mulbagal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hanumanhalli,2848586133,"FAC/2026/7428",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hanumanthapura,7775355782,"FAC/2026/7411",Yes,Karnataka,Davanagere,Jagalur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hanumanthi,3135588873,"FAC/2025/6175",Yes,Karnataka,UttaraKannada,Sirsi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hanwal,4345268280,"FAC/2025/3687",Yes,Karnataka,Koppal,Gangavathi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Haochong,7752824768,"FAC/2025/1729",Yes,Manipur,Noney,Noney,"Primary Health Center",MANGAAL,HEALTH,0,1,1
Haokha,4578676233,"FAC/2026/7151",Yes,Manipur,Thoubal,Thoubal,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,0,0
"Haorangsabal Dispensary",7622745870,"FAC/2025/1785",Yes,Manipur,ImphalWest,Haorangsabal,"Health and Wellness Center",MANGAAL,HEALTH,0,0,0
"Haoreibi Mayai",1458676770,"FAC/2026/7152",Yes,Manipur,Thoubal,LilongCd,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,0,0
Hapjan,8812872367,"FAC/2025/0297",Yes,Assam,Tinsukia,Hapjan,"Primary Health Center","GCEP Solar Pvt Ltd",HEALTH,0,0,0
Haraguvalli,4242486571,"FAC/2025/6025",Yes,Karnataka,Shivamogga,Shikaripura,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Harakanalli,8535611159,"FAC/2025/3587",Yes,Karnataka,Vijayanagara,Kudilgi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Haralahalli,8247575734,"FAC/2026/6346",Yes,Karnataka,Mandya,Pandavapura,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Haralipura,6454284271,"FAC/2026/7464",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Haranal,8583831246,"FAC/2025/3465",Yes,Karnataka,Vijayapura,Sindagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Harappanahalli General Hospital",7628624343,"FAC/2025/4420",Yes,Karnataka,Vijayanagara,Harappanahalli,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Harapur HWC",4737522484,"FAC/2025/5463",Yes,Karnataka,Raichur,Sindhanur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Haraputa,5434485271,"FAC/2025/0700",Yes,Assam,Kokrajhar,Gossaigaon,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Harasooru,5162324155,"FAC/2025/4832",Yes,Karnataka,Kalaburagi,Kalaburagi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Harathalu,3648452641,"FAC/2025/5965",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hardoli      ",3116326558,"FAC/2026/10372",Yes,Odisha,Koraput,Borigumma,"Sub Center","Onergy Solar",HEALTH,0,0,0
Hari,2782466581,"FAC/2026/8709",Yes,"Arunachal Pradesh",LowerSubansiri,Ziro1,"Sub Center","Bharti Sharma",HEALTH,0,0,0
"Hari Mandir Urban",5873254832,"FAC/2025/0076",Yes,Assam,Nalbari,PubNalbari,"Urban Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Haribhanga,8438417225,"FAC/2025/0066",Yes,Assam,Nalbari,Tihu,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Haridravati,8643742565,"FAC/2025/5966",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Harigaon,"mg-0073","FAC/2025/1568",Yes,Meghalaya,SouthWestGaroHills,Betasing,"Health and Wellness Center",ERES,HEALTH,0,1,1
"Harihar General Hospital",7443775536,"FAC/2025/4488",Yes,Karnataka,Davanagere,Harihar,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hariharapura,8223843668,"FAC/2026/6347",Yes,Karnataka,Mandya,Krishnarajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Harimura,6852874178,"FAC/2025/0043",Yes,Assam,Goalpara,Matia,"State Dispensary",ERES,HEALTH,0,0,0
"Harinaguri SC",3322181128,"FAC/2025/0727",Yes,Assam,Kokrajhar,Balajan,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
"Harinaguri SD",2382477632,"FAC/2025/0718",Yes,Assam,Kokrajhar,Balajan,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Hariyabbe,8532548370,"FAC/2025/5014",Yes,Karnataka,Chitradurga,Hiriyur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Harobelavadi,1445154113,"FAC/2025/4310",Yes,Karnataka,Dharwad,Dharwad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Harogolige,1538512227,"FAC/2025/6093",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Harohalli,6514135133,"FAC/2026/6404",Yes,Karnataka,Mysuru,Mysuru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Haronahalli,3675584589,"FAC/2026/7465",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Harshikatta,7787315766,"FAC/2025/6166",Yes,Karnataka,UttaraKannada,Siddapur,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Harugoppa,7186764275,"FAC/2025/5927",Yes,Karnataka,Belagavi,Savadatti,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Harvi,6313883438,"FAC/2025/5353",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Harwad,8216848179,"FAC/2025/4694",Yes,Karnataka,UttaraKannada,Ankola,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Hasanapura,7264841375,"FAC/2025/4539",Yes,Karnataka,Yadgir,Surapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Hasargundagi,5845673853,"FAC/2025/3795",Yes,Karnataka,Kalaburagi,Afzalpur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hasgal,6668636373,"FAC/2025/3686",Yes,Karnataka,Koppal,Koppal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hassak,4715344380,"FAC/2025/0296",Yes,Assam,Tinsukia,Margherita,"Mini Primary Health Center","GCEP Solar Pvt Ltd",HEALTH,0,0,0
"Hataguda      ",8536634580,"FAC/2026/10478",Yes,Odisha,Koraput,Nandpur,"Sub Center","Onergy Solar",HEALTH,0,0,0
Hathikuni,3443672674,"FAC/2025/4239",Yes,Karnataka,Yadgir,Yadgir,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Hathuru,8865455466,"FAC/2026/6448",Yes,Karnataka,Kodagu,Virajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hatibagara,5111224589,"FAC/2025/0475",Yes,Assam,KamrupMetro,Chandrapur,"Mini Primary Health Center",ERES,HEALTH,0,1,1
Hatibari,1848236467,"FAC/2025/3135",Yes,Odisha,Sambalpur,Jujumura,"Primary Health Center","Onergy Solar",HEALTH,0,0,0
"Hatibari      ",5442678420,"FAC/2026/10479",Yes,Odisha,Koraput,Nandpur,"Sub Center","Onergy Solar",HEALTH,0,0,0
Hatichar,1114745126,"FAC/2025/0947",Yes,Assam,Chirang,Sidli,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Hatinamati,2348728177,"FAC/2025/0089",Yes,Assam,Nalbari,Kamarkuchi,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
"Hatisil Gittim",17671010412,"FAC/2026/8171",Yes,Meghalaya,SouthWestGaroHills,Betasing,Anganwadi,ERES,ANGANWADI,0,1,1
Hatmawdon,17298050521,"FAC/2026/8907",Yes,Meghalaya,EastKhasiHills,Mawsynram,Anganwadi,ERES,ANGANWADI,0,0,0
Hatogaon,"mg-0477","FAC/2025/1172",Yes,Meghalaya,WestGaroHills,Tikirkilla,"Health and Wellness Center",ERES,HEALTH,0,1,1
Hattali,3247167780,"FAC/2025/3464",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hattarakihal,2481676449,"FAC/2025/3463",Yes,Karnataka,Vijayapura,BasavanBagewadi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hatterwat,3173744859,"FAC/2025/4356",Yes,Karnataka,Belagavi,Chikodi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hatti,1512252444,"FAC/2025/3685",Yes,Karnataka,Koppal,Koppal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hattiangadi,5513361625,"FAC/2025/3305",Yes,Karnataka,Udupi,Udupi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Hattigidur,8846562422,"FAC/2025/4265",Yes,Karnataka,Yadgir,Shahapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Haulawng PHC",HaulawngPHC,"FAC/2025/2733",Yes,Mizoram,Lunglei,Lunglei,"Primary Health Center","Krishna Power Solution",HEALTH,0,0,0
"Haulawng SC",HaulawngSC,"FAC/2025/2700",Yes,Mizoram,Lunglei,Lunglei,"Sub Center","Krishna Power Solution",HEALTH,0,1,1
"Hauruang SC",HauruangSC,"FAC/2025/2707",Yes,Mizoram,Lunglei,Lunglei,"Sub Center","Krishna Power Solution",HEALTH,0,1,1
Havinal,3374115115,"FAC/2025/3462",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hawa Camp",4242817833,"FAC/2026/8426",Yes,"Arunachal Pradesh",PapumPare,Kimin,"Sub Center","Bharti Sharma",HEALTH,0,0,0
"Hayyal B SC",7283316789,"FAC/2025/3372",Yes,Karnataka,Yadgir,Shahapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hebbal 1",5881818271,"FAC/2025/5097",Yes,Karnataka,Belagavi,Hukkeri,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
"Hebbal Chittapur",4244243285,"FAC/2025/3794",Yes,Karnataka,Kalaburagi,Chittapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hebbal-Basavan Bagewadi",7752767736,"FAC/2025/3461",Yes,Karnataka,Vijayapura,BasavanBagewadi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hebbalagere,1161624141,"FAC/2026/7412",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hebbale,8233856858,"FAC/2026/6433",Yes,Karnataka,Kodagu,Virajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hebballi,6874365189,"FAC/2026/7326",Yes,Karnataka,Chitradurga,Hosadurga,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hebballi,7638831367,"FAC/2025/5823",Yes,Karnataka,Bagalkote,Badami,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hebbalu,4875225783,"FAC/2026/7067",Yes,Karnataka,Hassan,Beluru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hebbata,2443435777,"FAC/2026/6945",Yes,Karnataka,Kolar,Srinivaspur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hebberalu,6441177844,"FAC/2026/6348",Yes,Karnataka,Mandya,Maddur,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Heble,2347668630,"FAC/2025/4414",Yes,Karnataka,UttaraKannada,Bhatkal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Heddaripura,5856835839,"FAC/2025/5967",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Heddase,2186886756,"FAC/2026/6707",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hedduru,5555126365,"FAC/2025/6094",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hee Gyathang",IN1110000086,"FAC/2025/2186",Yes,Sikkim,Northsikkim,"Hee Gyathang","Primary Health Center",ERES,HEALTH,0,1,1
"Hee Yangthang",IN1110000051,"FAC/2025/2244",Yes,Sikkim,Gyalshing,Dentam,"Health and Wellness Center",ERES,HEALTH,0,0,0
Heera,1688326741,"FAC/2025/5352",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Heerehalli,7562454871,"FAC/2026/7044",Yes,Karnataka,Tumkur,Tumkur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hegadekatte,2847333420,"FAC/2025/4657",Yes,Karnataka,UttaraKannada,Sirsi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Hegde,1235452131,"FAC/2025/6153",Yes,Karnataka,UttaraKannada,Kumta,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hegdihal,4733136875,"FAC/2025/3460",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hegganadoddi,1725172520,"FAC/2025/4263",Yes,Karnataka,Yadgir,Shorapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Heggarani,7828872155,"FAC/2025/6167",Yes,Karnataka,UttaraKannada,Siddapur,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Heggarukodige,6832588146,"FAC/2026/6708",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Heggeri,2117226536,"FAC/2025/4961",Yes,Karnataka,Dharwad,Hubli,"Urban Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Heggodu,6431884656,"FAC/2025/6062",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Heggodu,8716437275,"FAC/2025/6095",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Heggur,4524858547,"FAC/2025/4143",Yes,Karnataka,Bagalkote,Bilagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Heigrujam,3223321138,"FAC/2025/1784",Yes,Manipur,ImphalWest,Khumbong,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,0,0
Heirok,1157255421,"FAC/2025/1671",Yes,Manipur,Thoubal,Thoubal,"Community Health Center",MANGAAL,HEALTH,0,0,0
Hekra,6473268636,"FAC/2025/0109",Yes,Assam,Kamrup,Chamaria,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Helana,1846645388,"FAC/2025/0219",Yes,Assam,Barpeta,Bajali,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Helem,3167478571,"FAC/2025/0659",Yes,Assam,Biswanath,"Pub Chaiduar","Primary Health Center","Renesys Power Systems",HEALTH,0,0,0
Hemanal,4733245684,"FAC/2025/5332",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Hemanoor,7138143842,"FAC/2025/4538",Yes,Karnataka,Yadgir,Surapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Hemdore,1115775320,"FAC/2026/7016",Yes,Karnataka,Tumkur,Sira,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hemnur,6355516136,"FAC/2025/5331",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,4,4
"Hengrabari MU",6273638855,"FAC/2025/0494",Yes,Assam,KamrupMetro,GhyCapitalZone,"Primary Health Center",ERES,HEALTH,0,1,1
Heningkunglwa,IN1310000057,"FAC/2026/7094",Yes,Nagaland,Peren,Jalukie,"Primary Health Center","Aboriginal Energy",HEALTH,0,1,1
Herangadi,8741768314,"FAC/2025/6141",Yes,Karnataka,UttaraKannada,Honnavar,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hereammiganur,7562157110,"FAC/2026/7327",Yes,Karnataka,Chitradurga,Hiriyur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Heregonigere,7228767542,"FAC/2026/7429",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Herkal,6854881718,"FAC/2025/5832",Yes,Karnataka,Bagalkote,Bilagi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Herundi,1211682263,"FAC/2025/5467",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Herur B",5347786534,"FAC/2025/3793",Yes,Karnataka,Kalaburagi,Kalaburagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Heruru,1441848429,"FAC/2026/6709",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Heruru,3818417465,"FAC/2026/7032",Yes,Karnataka,Tumkur,Sira,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hesarur,1411552761,"FAC/2026/7531",Yes,Karnataka,Haveri,Savanur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Hidakal-Khanapur",4577628813,"FAC/2025/4023",Yes,Karnataka,Belagavi,Khanapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hidakal-Raibag",8433336453,"FAC/2025/5089",Yes,Karnataka,Belagavi,Raibag,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Hidipi,1118462215,"FAC/2025/0457",Yes,Assam,KarbiAnglong,Bokajan,"Primary Health Center",ERES,HEALTH,0,0,0
"High SChool SC",IN1310000490,"FAC/2025/6203",Yes,Nagaland,Noklak,Noklak,"Sub Center","A and D Solar",HEALTH,0,0,0
Hija,1113681264,"FAC/2026/8708",Yes,"Arunachal Pradesh",LowerSubansiri,Ziro1,"Sub Center","Bharti Sharma",HEALTH,0,0,0
"Hikimput      ",8317642380,"FAC/2026/10480",Yes,Odisha,Koraput,Nandpur,"Sub Center","Onergy Solar",HEALTH,0,0,0
Hilalpur,7118786347,"FAC/2025/3953",Yes,Karnataka,Bidar,Humanabad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hindasagatta,5234648375,"FAC/2026/7466",Yes,Karnataka,Davanagere,Harihar,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hindugudlu,4215525322,"FAC/2026/7593",Yes,Karnataka,Mysuru,Hunsur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hippalgaon,4328716776,"FAC/2025/3952",Yes,Karnataka,Bidar,Aurad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirdoshi,3384856179,"FAC/2026/10596",Yes,Maharashtra,Pune,Bhor,"Primary Health Center","Devidayal Solar",HEALTH,0,0,0
Hirearalalli,8484855120,"FAC/2025/3684",Yes,Karnataka,Koppal,Yelburga,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirebadaradinni,1115246819,"FAC/2025/5418",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,4,4
Hireballekere,5223448837,"FAC/2026/6710",Yes,Karnataka,Chikkamagaluru,Kaduru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hirebannigol,4224584583,"FAC/2025/3683",Yes,Karnataka,Koppal,Kushtagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirebasur,8871532779,"FAC/2026/7532",Yes,Karnataka,Haveri,Hangal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,1,1
Hirebettu,6677522887,"FAC/2025/3360",Yes,Karnataka,Udupi,Udupi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Hirebhendigeri,8575476331,"FAC/2025/4889",Yes,Karnataka,Haveri,Shiggaon,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Hirebommanal,7816248574,"FAC/2025/4741",Yes,Karnataka,Koppal,Yalaburga,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Hiregonnagar,6221661652,"FAC/2025/3682",Yes,Karnataka,Koppal,Kushtagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hiregowja,5388217449,"FAC/2026/6711",Yes,Karnataka,Chikkamagaluru,Chikkamagaluru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hireguntunur,3648218430,"FAC/2025/5028",Yes,Karnataka,Chitradurga,Chitradurga,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Hiregutti,2871446288,"FAC/2025/4687",Yes,Karnataka,UttaraKannada,Kumta,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Hirehadlur,1646123156,"FAC/2025/4142",Yes,Karnataka,Bagalkote,Bagalkote,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Hirehalli,8555578775,"FAC/2026/7533",Yes,Karnataka,Haveri,Byadgi,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hirehangi,5253118227,"FAC/2025/5350",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Hirehattiholi,2873746719,"FAC/2025/4000",Yes,Karnataka,Belagavi,Khanapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirejamburu,2515114466,"FAC/2025/6026",Yes,Karnataka,Shivamogga,Shikaripura,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hirejeni,5837843613,"FAC/2025/5968",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hirekanagi,5844465541,"FAC/2026/7534",Yes,Karnataka,Haveri,Hangal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hirekeda,8588812563,"FAC/2025/3681",Yes,Karnataka,Koppal,Kanakagiri,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirekerehalli,2138833740,"FAC/2025/4984",Yes,Karnataka,Chitradurga,Molakalmuru,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
